"OldName","NewName","Size","Path"
"IMG-20250906-WA0132.jpg","","84307","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0132.jpg"
"IMG-20250906-WA0133.jpg","","63937","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0133.jpg"
"IMG-20250906-WA0134.jpg","","47781","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0134.jpg"
"IMG-20250906-WA0135.jpg","","48221","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0135.jpg"
"IMG-20250906-WA0136.jpg","","43058","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0136.jpg"
"IMG-20250906-WA0137.jpg","","72237","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0137.jpg"
"IMG-20250906-WA0138.jpg","","69251","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0138.jpg"
"IMG-20250906-WA0139.jpg","","74367","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0139.jpg"
"IMG-20250906-WA0140.jpg","","70023","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0140.jpg"
"IMG-20250906-WA0141.jpg","","43056","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0141.jpg"
"IMG-20250906-WA0142.jpg","","58542","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0142.jpg"
"IMG-20250906-WA0143.jpg","","55547","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0143.jpg"
"IMG-20250906-WA0144.jpg","","37235","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0144.jpg"
"IMG-20250906-WA0145.jpg","","84515","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0145.jpg"
"IMG-20250906-WA0146.jpg","","50992","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0146.jpg"
"IMG-20250906-WA0147.jpg","","62267","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0147.jpg"
"IMG-20250906-WA0148.jpg","","75112","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0148.jpg"
"IMG-20250906-WA0149.jpg","","52455","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0149.jpg"
"IMG-20250906-WA0150.jpg","","36916","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0150.jpg"
"IMG-20250906-WA0151.jpg","","45494","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0151.jpg"
"IMG-20250906-WA0152.jpg","","63853","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0152.jpg"
"IMG-20250906-WA0153.jpg","","71292","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0153.jpg"
"IMG-20250906-WA0154.jpg","","92457","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0154.jpg"
"IMG-20250906-WA0155.jpg","","172199","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0155.jpg"
"IMG-20250906-WA0156.jpg","","45269","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0156.jpg"
"IMG-20250906-WA0157.jpg","","177313","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0157.jpg"
"IMG-20250906-WA0158.jpg","","36318","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0158.jpg"
"IMG-20250906-WA0159.jpg","","64721","C:\Users\Darius\Desktop\catalogue Menuserie\image\IMG-20250906-WA0159.jpg"
